teacher_done 0.21660579498417337
20000 0.0519 -23.553
20001 0.317 -26.778
20002 0.2754 -40.663
20003 0.2505 -50.066
20004 0.2688 -36.667
20005 0.2221 -36.869
20006 0.1183 -35.445
20007 0.2359 -22.642
20008 0.1052 -36.141
20009 0.2023 -32.477
20010 0.1271 -35.293
20011 0.2089 -23.972
20012 0.3316 -43.752
20013 0.1161 -23.402
20014 0.3009 -25.485
20015 0.114 -32.717
20016 0.1519 -41.196
20017 0.3557 -48.612
20018 0.2995 -53.505
20019 0.2272 -34.085
20020 0.2498 -48.28
20021 0.2206 -24.014
20022 0.0818 -24.817
20023 0.0782 -27.588
20024 0.271 -48.811
20025 0.1841 -23.883
20026 0.2484 -47.173
20027 0.2133 -31.187
20028 0.3733 -38.976
20029 0.3492 -46.755
BEST 20028 0.3732651570489408
